"id","judul_bab","file","textpreprocessing"
"123","Hadis Tentang Kurban","12. Hadis Tentang Kurban/3.txt","riwayat ali radliallahu anhu kata rasulullah shallallahu alaihi wassalam perintah menyedahkahkan pelana onta kulit aku sembelih kurban hr imam albukhari"
"124","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/1.txt","riwayat abu hurairah kata nabi shallallahu alaihi wassalam sabda hari kiamat akan jadi telah hilang ilmu jadi gempa manamana waktu seakanakan jalan cepat timbul bagai macam fitnah banyak jadi bunuh harta limpah ruah kalian hr imam albukhari"
"125","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/2.txt","riwayat samrah bin jundab kata apabila nabi shallallahu alaihi wassalam selesai laksana shalat beliau hadap wajah lalu tanya siapa antara kalian malam mimpi samrah bin jundab kata orang mimpi orang cerita beliau kata masya allah atas hendak allah suatu hari beliau tanya antara kalian malam mimpi kami jawab beliau kata aku malam mimpi dua orang lakilaki datang kemudian dua pegang tangan kemudian bawa negeri suci almuqaddasah nyata sana dapat orang lakilaki sedang diri satu sedang duduk tangan pegang batang besi ujung bengkok biasa gantung bagi sahabat kami kata musa batang besi sebut masuk dalam satu sisi mulut geraham orang hingga tembus leher bagi belakang tengkuk kemudian laku sisi mulut satu lalu lepas mulut masuk terus terus laku aku tanya apa maksud dua orang bawa bekata berangkat kami berangkat tempat kepada orang lakilaki sedang baring sandar tengkuk sedang lakilaki lain diri atas kepala pegang batu besar hancur kepala pukul batu hancur kepala orang orang hampir ambil terus terus pukul kepala hingga kepala orang kembai utuh mula kemudian pukul batu hingga hancur aku tanya siapa orang dua jawab berangkat kami berangkat hingga suatu lubang dapur api mana bagi atas sempit bagi bawah lebar bawah nyala api apabila api dekat hun angkat bila padam hun akan bawah hun diri lakilaki perempuan aku tanya siapa dua jawab berangkat kami berangkat hingga tiba buah sungai air ubah darah sana dapat orang lakilaki diri tengahtengah sungai kata yazid bin harun wahb bin jarir jarir bin hazim tepi sungai dapat orang lakilaki pegang batu orang ada tengah sungai hadap hendak maksud keluar sungai sebut lakilaki pegang batu lempar batu arah mulut hingga kembali tempat mula tengah sungai begitu tiap hendak keluar sungai akan lempar batu arah mulut kembali tempat mula aku tanya apa maksud dua jawab berangkat kami berangkat hingga suatu taman hijau dalam penuh pohon besarbesar bawah dapat orang tua anakanak ada orang ada dekat pohon pegang api manakala nyala api dua orang bawa naik bawa panjat pohon lalu dua masuk aku ke buah rumah kampung pernah aku lihat indah itu belum dalam ada orang lakilaki orangorang tua pemuda wanita anakanak lalu dua bawa keluar situ lalu bawa naik ke atas pohon lalu masuk ke dalam suatu rumah lebih baik lebih indah dalam dapat orangorang tua pemuda aku kata ajak aku keliling malam terang apa kalian lihat kepada tadi dua kata baik adapun orang kamu lihat mulut di tusuk batang besi orang suka bohong bila kata selalu bohong dia bawa hingga ke ufuq lalu dia laku itu hingga hari kiamat adapun orang kamu lihat kepala pecah dengan batu orang telah ajar alquran allah lalu dia tidur pada suatu malam tidak amal alquran pada siang hari dia laku itu hingga hari kiamat adapun orangorang kamu lihat ada di dapur api zina orang kamu lihat ada di tengah sungai mereka makan hasil riba orang ada di bawah pohon nabi ibrahim alaihissalam anakanak kecil sekitar anakanak kecil manusia adapun orang nyala api malaikat tunggu neraka rumah pertama kamu masuk rumah seluruh kaum mukminin rumah yang ini kampung manusia yang mati syahid dan sedang aku malaikat jibril dan ini adalah malaikat mikail angkat kepala aku angkat kepala nyata di atas kepala ada sesuatu awan dua kata itu rumah aku kata biar aku pasuk rumah dua kata umur sisa dan juga belum selesai anda selesai waktu maka kamu akan pasuk rumah hr imam albukhari"
"126","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/3.txt","riwayat abu dzar kata aku sedang sama nabi shallallahu alaihi wassalam beliau lihat bukit uhud beliau kata anda bukit ubah untuk jadi emas bentuk dinar lalu ada pada lebih tiga hari satu dinar aku siap bayar utang aku suka kemudian beliau lanjut sungguh banyak orang masalah harta sedikit dari selamat orang kata harta beginibegini abu syihab beri isyarat tangan arah kanan kiri sedikit sekali yang selamat beliau shallallahu alaihi wassalam kata tetap kamu sini lalu beliau lang jauh lalu aku dengar suara mula aku hendak datang beliau aku ingat perintah beliau tetap kamu tempat hingga aku datang ketika beliau datang aku tanya wahai rasulullah suara tadi yang aku dengar beliau jawab kamu dengar aku jawab beliau jelas malaikat jibril alaihissalam datang kepada kata siapa dari umat yang mati sekutu allah sesuatu apa itu dia masuk surga aku nabi tanya sekalipun dia buat beginibegini jibril jawab hr imam albukhari"
"127","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/4.txt","riwayat imran bin hushain radliallahu anhuma nabi shallallahu alaihi wassalam beliau sabda aku pernah tengok surga nyata banyak hun orangorang miskin aku pernah tengok neraka ternayat banyak hun kaum wanita hr imam albukhari"
"128","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/5.txt","riwayat dar abu hurairah radliallahu anhu kata rasulullah shallallahu alaihi wassalam sabda rombong pertama masuk surga rupa seperti bulan purnama pernah ingus ludah tidak buang air besar tinja alat perabot surga buat emas sisirsisir buat emas perak alat hangat buat kayu cendana keringat harum minyak misik orang memliki istri bidadari sumsum tulang lihat betisbetis dari balik daging amat sangat cantik tidak selisih tengkar di sana tidak ada pula saling benci hati mereka bagai hati satu senantiasa tasbih waktu pagi petang hr imam albukhari"
"129","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/6.txt","riwayat abu hurairah kata nabi shallallahu alaihi wassalam beliau sabda hari kiamat duduk surga panggil wahai duduk surga kalian hidup abadi tak mati duduk neraka panggil wahai duduk neraka kalian hidup abadi tak mati lagi hr imam albukhari"
"130","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/7.txt","riwayat abu said alkhudri radliallahu anhu kata nabi shallallahu alaihi wassalam sabda allah panggil duduk surga hai duduk surga jawab baik penuh penggilanmu seluruh baik ada tangan allah kemudian terus kalian puas jawab bagaimana puas wahai tuhan sedang engkau beri kami pernah engkau ikan satu dari makhluk allah firman mau kalian aku beri suatu yang lebih utama itu semua balik tanya tuhan yang lebih utama itu semua allah jawab sekarang aku halal kalian keridhaanku aku tidak marah terhadapa kalian selamaselamanya hr imam albukhari"
"131","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/8.txt","riwayat abu hurairah radliallahu anhu rasulullah shallallahu alaihi wassalam sabda api kalian dunia rupa bagi tujuh puluh bagi api neraka jahannam tanya beliau wahai rasulullah satu bagi saja cukup siksa laku maksiat beliau sabda tambah atas enam puluh sembilan kali lipat sama panas hr imam albukhari"
"132","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/9.txt","riwayat asma radliallahu anha sungguh nabi shallallahu alaihi wassalam puji allah suci lalu beliau sabda ada lihat kepada aku lihat tempat hingga surga neraka lalu wahyu kepada kalian kena fitnah aku sendiri tahu apa asma kata antara fitnah almasihud dajjal tanya orang dalam kubur apa kamu tahu lakilaki adapun orang iman orang yakin kurang tahu mana maksud antara dua jawab muhammad rasulullah datang bawa penjelasn tunjuk kami sambut kami ikut adalah muhammad ucap tiga kali kepada orang kata tidur tenang sungguh kami telah tahu kamu adalah orang yakin adapun orang munafik orang ragu asma kurang mana yang yang maksud antara dua akan jawab aku tahu siapa aku dengar manusia bicara sesutau aku kata hr imam albukhari"
"133","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/10.txt","riwayat ibn umar radiallahu anhuma nabi shallallahu alaihi wassalam beliau sabda kunci keghaiban lima tahu allah tahu kandung kempes gugusberkurang allah tahu apa jadi esok hari allah ada tahu kapan hujan datang allah tidak ada siapa manusia tahu bumi mana ada tinggal alin allah tidak ada yang tahu kapan kiamat jadi allah hr imam albukhari"
"134","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/11.txt","riwayat abu said alhidri nabi shallallahualaihi wasalam sabda dajjal turun haram masuk jalan madinah lantas singgah lokasi tak tumbuhtumbuhan dekat madinah kemudian orang datang sebaikbaik manusia antara manusia baik berkatasaya saksi engkau adalah dajjal mana cerita rasullullah shallallahu alaihi wassalam kami kemudian dajjal mengatakanapa dapat kalian aku bunuh orang lalu aku hidup apakah kalian ragu perkara mereka jawab maka kemudian dajal bunuh orang sebut ktmudian hidup namun orang sebut tibatiba kata tahu hari waspada diri besar kewapadaanku hadap kemudian dajjal bunuh orang namun ia tak lagi kuasa hr imam albukhari"
"135","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/12.txt","riwayat anas bin malik nabi shallallahualaihi wassalam bersbabda suatu negeri masuk dajjal makkah madinah tidak ada satu pintu pintupintu gerbang akan masuk dajjal ada malaikat yang bar jaga kemudian madinah akan guncang banyak tiga kali allah keluar orangorang kafir munafik dalam hrimam albukhari"
"136","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/13.txt","riwayat abdullah bin umar kata rasulullah shallallahu alaihi wassalam pernah sabda allah turun azab suatu kaum azab akan kena semua orang ada dalam kemudian bangun di hari akhirat sesuai jumlah amal buat hr imam albukhari"
"137","Hadis Tentang Alam Kubur dan Hari Akhir","13. Hadis Tentang Alam Kubur dan Hari Akhir/14.txt","diwirayatkan anas bin malik radiallahu anhu nabi shallallahu alaihi wassalam beliau sabda sungguh surga buah pohon jika kendara jalan bawah naung ratus tahun lama ia akan lewat hr imam albukhari"
"138","Hadis Tentang Al-Quran","14. Hadis Tentang Al-Quran/1.txt","riwayat aisyah nabi shallallahu laihi wassalam beliau sabda umpama orang baca alqur n ia hafal ia sama malaikat mulia umpama orang baca alqur n tekun ia alami sulit atas dia dapat ganjar pahala hr imam albukhari"
"139","Hadis Tentang Al-Quran","14. Hadis Tentang Al-Quran/2.txt","riwayat jundab bin abdullah kata rasulullah shallallahu laihi wassalam sabda baca alqur n lama jadi hati kalian satu padu jika kalian selisih tinggal hr imam albukhari"
"140","Hadis Tentang Al-Quran","14. Hadis Tentang Al-Quran/3.txt","riwayat abu mas d kata nabi shallallahu laihi wassalam sabda barang siapa baca ayat akhir surat albaqarah suatu malam dua ayat akhir akan cukup hr imam albukhari"
"141","Hadis Tentang Al-Quran","14. Hadis Tentang Al-Quran/4.txt","riwayat aisyah sungguh nabi shallallahu laihi wassalam bila hendak anjak tempat tidur tiap malam beliau satu dua telapak tangan lalu tiup baca qul huwallahu ahad qul a udzu bi rabbil falaq qul a udzu birabbin naas itu beliau usap dua tangan anggota tubuh jangkau oleh beliau mula kepala wajah pada anggota dapat jangkau itu beliau ulang banyak tiga kali hr imam albukhari"
"142","Hadis Tentang Al-Quran","14. Hadis Tentang Al-Quran/5.txt","riwayat abdullah bin mughaffal kata aku pernah lihat nabi shallallahu laihi wassalam beliau ada atas ontanya jalan itu beliau baca surat alfath baca pelan mengulangngulangnya hr imam albukhari"
"143","Hadis Tentang Al-Quran","14. Hadis Tentang Al-Quran/6.txt","riwayat abu said alkhudri kata rombong beberapa orang sahabat rasulullah shallallahu alaihi wassalam pergi suatu jalan hingga salah satu kampung duduk arab tempat minta para duduk sedia terima tamu duduk sebut tolak kemudian kepala suku kampung sebut kena serang binatang lalu usaha segala sembuh belum hasil lalu antara kata coba kalian temu rombong moga ada di milik obat lalu datang rombong kata wahai rombong sungguh kepala suku gigit ekor binatang usaha laku obat belum hasil ada di antara kalian daat sembuh kata orang rombong demi allah aku obat demi allah kemarin minta kalian untuk jadi tamu kalian kalian kenan aku akan bantu obat kepala suku kalian kalian beri kami upah akhir mereka sepakat imbal puluh ekor kambing berangkat baca alhamdulillah rabbil alamin qs alfatihah akan sakit lepas ikat tali padahal pergi bawa obat apa dia kata mereka bayar upah telah pakat belum orang mereka kata bagi kambingkambing orang obat kata jangan kalian begikan kambingkambing hingga temu nabi shallallahu alaihi wassalam lalu cerita jadi sebut beliau kita tunggu apa akan beliau perintah kita akhir rombong sebut hadap rasulullah shallallahu alaihi wassalam kemudian mereka cerita peristiwa sebut beliau kata kamu tahu darimana kalau alfatihah dapat guna rukyah obat kemudian beliau lanjut kalian telah laku buat benar bagi upah kambingkambing sebut rombong kalian masuk aku bagai orang terima upah sebut maka rasulullah shallallahu alaihi wassalam tertawa hr imam albukhari"
"144","Hadis Tentang Al-Quran","14. Hadis Tentang Al-Quran/7.txt","riwayat ibnu masud radliallahu anhu kata aku dengar nabi shallallahu alaihi wassalam sabda boleh dengki hal pertama kepada orang beri harta allah lalu kuasa guna jalan benar dua orang telah beri ilmu allah lalu laksana ajar kepada orang hr imam albukhari"
"145","Hadis Tentang Zikir dan Doa","15. Hadis Tentang Zikir dan Doa/1.txt","riwayat abu hurairah dia kata tanya rasulullah shallallahu alaihi wassalam wahai rasulullah siapa orang paling bahagia dapat syafaat hari kiamat kelak rasulullah shallallahu alaihi wassalam jawab aku duga wahai abu hurairah tidak orang dahulu tanya masalah karena aku lihat betapa perhati diri hadis orang paling bahagia syafaat hari kiamat orang ucap laa ilaaha illallah tiada tuhan allah ikhlas hati jiwa hr imam albukhari"
"146","Hadis Tentang Zikir dan Doa","15. Hadis Tentang Zikir dan Doa/2.txt","riwayat ibnu abbas radliallahu anhuma sungguh keras suara zikir selesai laksana shalat fardhu jadi zaman nabi shallallahu alaihi wassalam hr imam albukhari"
"147","Hadis Tentang Zikir dan Doa","15. Hadis Tentang Zikir dan Doa/3.txt","riwayat abdullah kata kami shalat belakang nabi shallallahu alaihi wassalam kami ucap assalamualallaahi qabla ibaadihi moga selamat limpah allah para hamba assalaamualaa jibriil moga selamat limpah jibril assalaamu alaa mikaaiil moga selamat limpah mikail assalamualaa fulaan wa fulaan moga selamat limpah fulan fulan nabi shallallahu alaihi wassalam selesai laksana shalat beliau hadap wajah kami sabda sungguh allah assalam apabila salah orang kalian duduk shalat sedang tahiyat hendak ucap attahiyyaatu lillaahi washshalawaatu waththayyibatu assalaamualaika ayyuhannabiyyu wa rahmatullaahi wa barakaatuh assalaamualainaa waala ibaadillahish shaalihiin semua hormat rahmat baik milik allah moga selamat rahmat berkah tetap pada engkau wahai abi selamat moga pada hambahamba allah saleh sungguh ucap hal sudah cakup seluruh hambahamba saleh baik langit maupun bumi nabi kemudian lanjut asyahdu allaa ilaaha illallah wa asyhadu anna muhammad abduhu wa rasuuluh aku saksi tiada zat hak sembah allah aku saksi muhammad hamba utus itu ia bole pilih doa ia hendak hr imam albukhari"
"148","Hadis Tentang Zikir dan Doa","15. Hadis Tentang Zikir dan Doa/4.txt","riwayat abu hurairah nabi shallallahu alaihi wassalam beliau sabda sulaiman bin daud pernah kata sungguh malam aku gilir sembilan puluh sembilan istri semua lahir lakilaki tunggang kuda jihad fi sabilillah salah satu kawan ujar ucap insya allah sulaiman juga ucap akhir sulaiman gilir semua tak satu hamil satu istri lahir tengah manusia zat jiwa ada tangan kalau ucap insya allah niscaya semua jadi parjurit jihad fii sabilillah hr imam albukhari"
"149","Hadis Tentang Zikir dan Doa","15. Hadis Tentang Zikir dan Doa/5.txt","riwayat abu hurairah rasulullah shallallahu alaihi wassalam sabda sungguh malaikat selalu doa salah orang kalian lama masih tempat shalat belum nerhadas malaikat kata allaahummagh firlahu allaahummar hamhu allah ampun ya allah rahmat hr imam albukhari"
"150","Hadis Tentang Zikir dan Doa","15. Hadis Tentang Zikir dan Doa/6.txt","riwayat abu muasa radliallahu anhu kata nabi shallallahu alaihi wassalam sabda umpama orang ingat tuhan orang tidak ingat tuhan orang hidup yang matihr imam albukhari"
"151","Hadis Tentang Zikir dan Doa","15. Hadis Tentang Zikir dan Doa/7.txt","riwayat anas bin malik radliallahu anhu kata orang lakilaki sedang bersin dekat nabi shallallahu alaihi wassalam kemudian beliau doa satu biar lain lakilaki doa kata wahai rasulullah anda doa tidak doa beliau jawab sungguh orang ini puji allah kamu tidak puji bersin hr imam albukhari"
"152","Hadis Tentang Qadha dan Qadar","16. Hadis Tentang Qadha dan Qadar/1.txt","riwayat anas bin malik nabi shallallahu alaihi wassalam beliau sabda sungguh allah taala menugaskanmalaikat rahim orang malaikat kata rabb sekarang baru sperma rabb gumpal darah rabb gumpal daging lalu apabila allah hendak tetap takdir cipta malaikat tanya lakilaki wanita celaka bahagia bagaimana rezeki ajal tetap tentu takdir ada perut ibu hr imam albukhari"
"153","Hadis Tentang Qadha dan Qadar","16. Hadis Tentang Qadha dan Qadar/2.txt","riwayat abdullah bin masud radliallahu anhu kata rasulullah shallallahu alaihi wassalam cerita kami orang jujur berita bawa benar orang kalian kumpul cipta ada perut ibu lama empat puluh hari kemudian jadi alaqah zigot lama pula kemudian jadi mudlghah gumpal daging lama pula kemudian allah kirim malaikat perintah empat tetap kata kepada tulis amal rezeki ajal sengsara bahagia lalu ditiupka roh kepada sungguh orang amal amalamal huni neraka hingga tak jarak diri neraka jengkal lalu dahulu catat tetap takdir hingga amal amal huni surga kemudian masuk surga ada orang amal amalamal huni surga hingga tak ada jarak diri surga jengkal lalu dahulu catat tetap takdir hingga amal amal huni neraka lalu dia masuk neraka hr imam albukhari"
"154","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/1.txt","riwayat ibnu abbas radliallahu anhuma kata sungguh utus abu qais datang temu nabi shallallahu alaihi wassalam beliau tanya kaum mana utus siapa jawab rabiah beliau shallallahu alaihi wassalam kata selamat datang wahai utus sukarela tanpa sesal utus kata wahai rasulullah tidak unjung bulan suci antara engkau dapat suku mudlar kafir karena ajar satu ajar amal dapat ajar orangorang desa mana amal kami dapat masuk surga kemudian tanya nabi shallallahu alaihi wassalam minum nabi shallallahu alaihi wassalam perintah dengan empat larang empat perintah untuk iman allah maha esa kemudian nabi shallallahu alaihi wassalam tanya tahu kalian apa arti iman allah maha esa mereka jawab allah rasul yang lebih tahu nabi shallallahu alaihi wassalam jelas saksi tiada tuhan allah bahwa muhammad utus allah tegak shalat tunai zakat puasa bulan ramadhan keluar lima harta rampas perang nabi shallallahu alaihi wassalam larang mereka dari empat perkara jangan kalian minum dari alhantam addubbaa annaqir dan almuzaffaat atau beliau shallallahu alaihi wassalam sebut muqoyyir bukan naqir nabi shallallahu alaihi wassalam sabda jaga semua dan beritahukanlah orangorang di desa kalian hr imam albukhari"
"155","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/2.txt","riwayat anas bin malik nabi shallallahu alaihi wassalam lihat dahak dinding kiblat lalu beliau gosok tangan tampak benci wajah beliau benci lihat hal beliau sabda salah orang kalian diri shalat sungguh sedang hadap tuhan sungguh tuhan ada dia arah kiblat jangan ludah arah kiblat hendak laku arah kiri bawah kaki kiri kemudian nabi shallallahu alaihi wassalam pegang tepi kain ludah di dalam lalu beliau balik posisi kain kata laku ini hr imam albukhari"
"156","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/3.txt","riwayat ibnu abbas aku pernah dengar rasulullah shallallahu alaihi wassalam sabda barang siapa buat gambar lukis nyawa allah siksa hingga tiup roh nyawa gambar dan sekalikali tidak bisa datang lama hr imam albukhari"
"157","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/4.txt","riwayat umar kata aku hibah beri kuda jalan allah kemudian aku lihat kuda di jual lalu aku tanya ini rasulullah shallallahu alaihi wassalam beliau sabda jangan kamu beli kuda sebut jangan kamu minta kembai sedekah hr imam albukhari"
"158","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/5.txt","riwayat abu musa radliallahu anhu nabi shallallahu alaihi wassalam dengar orang puji orang dan lebih puji beliau sabda kalian binasa diri sama kalian potong punggung orang hr imam albukhari"
"159","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/6.txt","riwayat abdullah radliallahu anhu kata rasulullah shallallahu alaihi wassalam sabda barang siapa sumpah sumpah curang maksud ambil harta orang muslim nanti akan jumpa allah sedang allah murka kepada hr imam albukhari"
"160","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/7.txt","riwayat abu hurairah radliallahu anhu nabi shallallahu alaihi wassalam beliau sabda jangan kalian percaya ahli kitab jangan kalian dusta ucap kata hai orangorang mukmin iman allah apa turun apa turun ibrahim ismail ishak yaqub anak cucu apa beri musa isa apa beri nabinabi tuhan kami tidak membedabedakan orang di mereka kami tunduk patuh nya qs albaqarah hr imam albukhari"
"161","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/8.txt","riwayat ibnu abbas radliallahu anhuma dia dengar nabi shallallahu alaihi wassalam sabda jangan sekalikali orang lakilaki khalwat dua orang wanita jangan sekalikali orang wanita pergi sama mahram lalu orang lakilaki bangkit kata wahai rasulullah aku daftar diri ikut suatu peperangan istri pergi tunai haji beliau sabda tunai haji sama istri hr imam albukhari"
"162","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/9.txt","riwayat azzuhriy kata salim abar kepada ibnu umar radliallahu anhuma cerita nabi shallallahu alaihi wassalam sabda orang lakilaki ketika lepas pakai sombong benam dasar bumi orang terus merontaronta hingga hari kiamathr imam albukhari"
"163","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/10.txt","riwayat jabir bin abdullah radliallahu anhuma kata nabi shallallahu alaihi wassalam suka bila orang datang keluarga tibatiba malam hari hr imam albukhari"
"164","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/11.txt","riwayat abu hurairah kata dengar rasulullah shallallahu alaihi wassalam sabda ada orang masuk surga amal sahabat tanya juga engkau wahai rasulullah beliau jawab juga diri bila allah limpah karunia rahmat pada karena laku lurus takarub jangan salah orang kalian harap mati orang baik moga tambah amal baik jika orang yang buruk akhlak moga bisa jadi dia tobat hr imam albukhari"
"165","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/12.txt","riwayat ibnu abbas radliallahu anhuma kata rasulullah shallallahu alaihi wassalam sabda allah laknat orang lakilaki rupa wanita para wanita rupa kaum lakilaki hr imam albukhari"
"166","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/13.txt","riwayat abu hurairah radliallahu anhu nabi shallallahu alaihi wassalam beliau sabda allah laknat orang sambung rambut orang minta sambung rambut laknat orang tato badan orang minta tato hr imam albukhari"
"167","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/14.txt","riwayat abdullah bin amru radliallahu anhuma kata rasulullah shallallahu alaihi wassalam sabda sungguh masuk dosa besar orang laknat dua orang tua sendiri kemudian beliau tanya hal bisa jadi wahai rasulullah beliau kemudian jawab orang cela laknat ayah orang kemudian orang sebut balas cela ayah ibu orang pertama hr imam albukhari"
"168","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/15.txt","riwayat abu hurairah kata rasulullah shallallahu alaihi wassalam sabda allah swt firman anak turun adam manusia suka cela masa padahal aku allah masa tangan siang malam ada hr imam albukhari"
"169","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/16.txt","riwayat aisyah radliallahu anha kata nabi shallallahu alaihi wassalam sabda jangan kalian cela mayit sampai dapat apa telah mereka kerja hr imam albukhari"
"170","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/17.txt","riwayat anas bin malik radliallahuanhu nabi shallallahu alaihi wassalam beliau sabda hari kiamat allah tanya huni neraka paling ringan siksa kalau kamu punya semua ada bumi akan kau jadi tebus diri kemudian jawab maka allah firman aku ingin lebih sepele ini kamu dalam sulbi adam agar kamu sekutu aku sesuatu apa namun engkau enggan bahkan sekutu sesuatu yang lain hr imam albukhari"
"171","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/18.txt","riwayat albara bin azib kata nabi shallallahu alaihi wassalam perintah tujuh perkara larang tujuh perkara beliau perintah untuk iring jenazah jenguk orang sedang sakit hadir undang tolong orang zalim buat adil jawab salam doa orang bersin beliau larang guna bejana buat bahan perak pakai cincin buat dari emas pakai kain sutra kasar sutra halus baju bordir sutra sutra tebal hr imam albukhari"
"172","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/19.txt","riwayat abdullah bin umar kata nabi shallallahu alaihi wassalam sabda senantiasa orang masih suka memintaminta orang kelak pada hari kiamat datang ada wajah potong bagi daging hr imam albukhari"
"173","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/20.txt","riwayat uqbah bin amir kata nabi shallallahu alaihi wassalam beri hadiah upa kain buat sutra kemudian beliau maka shalat guna kain sebut selesai beliau singkir keras akan suka beliau sabda tidak patut orang bertakwahr imam albukhari"
"174","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/21.txt","riwayat anas radliallahu anhu nabi shallallahu alaihi wassalam beri ringan abdur rahman bin auf azzubair guna baju buat bahan sutra sakit gatal derita dua hr imam albukhari"
"175","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/22.txt","riwayat usamah kata aku dengar rasulullah shallallahu alaihi wassalam sabda hari kiamat hadir orang kemudian di lempar dalam neraka isi perut keluar buai hinga berputarputar bagai ekor keledai berputarputar tarik mesin giling duduk neraka kumpul keliling kata wahai fulan apa jadi dengan bukankah kamu orang perintah buat makruf larang buat mungkar orang kata aku memang perintah kalian buat makruf aku sendiri laksana larang kalian buat mungkar malah aku kerja hr imam albukhari"
"176","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/23.txt","riwayat uqbah bin alharits kata aku pernah shalat asar sama nabi shallallahu alaihi wassalam beri salam tibatiba beliau diri tergesagesa temu bagi istriistri beliau beliau keluar dan beliau lihat orangorang semua rasa aneh gesa beliau akhir beliu sabda aku ingat aku shalat tadi batang emas ada kami aku suka bila benda itu ada kami sore malam aku perintah segera dibagibagikan hr imam albukhari"
"177","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/24.txt","riwayat jabir radliallahu anhu nabi shallallahu alaihi wassalam beliau sabda malam datang sabda beliau malam gelap tahan bayibayi kalian pada itu syaitan sedang liar telah lalu beberapa waktu waktu isya boleh kalian biar tutup pintu rumah kemudian sebut nama allah padam lampulampu kamu tutup pela bejana tempat makan kamu walaupun kamu dar lintang di atas dan tetap sebut nama allah hr imam albukhari"
"178","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/25.txt","riwayat ali bin abu thalib radliallahu anhu rasulullah shallallahu alaihi wassalam datang ali fatimah malam hari lantas beliau kata tidak kalian diri shalat ali jawab wahai rasulullah sungguh nyawa ada tangan allah dia kenan dia bangun cara spontan rasulullah shallallahu alaihi wassalam pergi aku jawab demikian beliau sama sekali kembali kemudian aku dengar beliau balik belakang sabda tepuk paha sungguh manusia adalah makhluk suka sekali ban hr imam albukhari"
"179","Hadis Tentang Perintah dan Larangan","17. Hadis Tentang Perintah dan Larangan/26.txt","riwayat aisyah radliallahu anha istri nabi shallallahu alaihi wassalam dia dengar rasulullah shallallahu alaihi wassalam sabda sungguh malaikatmalaikat turun alanan awan kemudian sebut perkaraperkara akan jadi langit lalu syaitansyaitan curi dengar hingga dapat dengar lalu bisik para dukun syaitansyaitan buat ratus dusta selip berita sampai asal inisiatif mereka sendiri hr imam albukhari"
